source_id,name,festival_type,province_text,venue_text,source_url,source_list_url,retrieved_at
9236,Chùa Bùng,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Bùng Dựa, xã Tuấn Việt",https://lehoi.com.vn/lehoi/detail.aspx?id=9236&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=368,2026-07-30T07:50:40.082081+00:00
9237,Chùa An Bình,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn An Bình, xã Tuấn Việt",https://lehoi.com.vn/lehoi/detail.aspx?id=9237&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=368,2026-07-30T07:50:40.082081+00:00
9238,Chùa Xuân Mang,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Xuân Mang, xã Tuấn Việt",https://lehoi.com.vn/lehoi/detail.aspx?id=9238&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=368,2026-07-30T07:50:40.082081+00:00
9239,Đền Vọng Giang,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Phạm Xá 1, xã Tuấn Việt",https://lehoi.com.vn/lehoi/detail.aspx?id=9239&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=368,2026-07-30T07:50:40.082081+00:00
9240,Chùa Dồi,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Phạm Xá, xã Tuấn Việt",https://lehoi.com.vn/lehoi/detail.aspx?id=9240&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=368,2026-07-30T07:50:40.082081+00:00
9241,Đình Vang,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Vang Phan, xã Tuấn Việt",https://lehoi.com.vn/lehoi/detail.aspx?id=9241&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=368,2026-07-30T07:50:40.082081+00:00
9242,Đình Phan,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Vang Phan, xã Tuấn Việt",https://lehoi.com.vn/lehoi/detail.aspx?id=9242&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=368,2026-07-30T07:50:40.082081+00:00
9243,Chùa Cam Đông,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Cam Đông, xã Tuấn Việt",https://lehoi.com.vn/lehoi/detail.aspx?id=9243&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=367,2026-07-30T07:50:40.082081+00:00
9244,Chùa Phương Khê,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Phương Khê, xã Tuấn Việt",https://lehoi.com.vn/lehoi/detail.aspx?id=9244&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=367,2026-07-30T07:50:40.082081+00:00
9245,Chùa Tiên Linh,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Thiện Đáp, xã Kim Xuyên",https://lehoi.com.vn/lehoi/detail.aspx?id=9245&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=367,2026-07-30T07:50:40.082081+00:00
9246,Chùa Quỳnh Khê,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Quỳnh Khê, xã Kim Xuyên",https://lehoi.com.vn/lehoi/detail.aspx?id=9246&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=367,2026-07-30T07:50:40.082081+00:00
9247,Chùa Kim Liên,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Phương Duệ, xã Kim Xuyên",https://lehoi.com.vn/lehoi/detail.aspx?id=9247&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=367,2026-07-30T07:50:40.082081+00:00
9248,Đình Dưỡng Thái,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Dưỡng Thái Trung, xã Phúc Thành",https://lehoi.com.vn/lehoi/detail.aspx?id=9248&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=367,2026-07-30T07:50:40.082081+00:00
9249,Chùa Cảnh Linh,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Dưỡng Thái Bắc, xã Phúc Thành",https://lehoi.com.vn/lehoi/detail.aspx?id=9249&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=367,2026-07-30T07:50:40.082081+00:00
9250,Đền Quýt,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Dưỡng Thái Bắc, xã Phúc Thành",https://lehoi.com.vn/lehoi/detail.aspx?id=9250&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=367,2026-07-30T07:50:40.082081+00:00
