id,name,type,source_url
drink_dessert_ChIJ43xuXL-rNTERPJkjFmEXoM8,1900 Club Hanoi,DrinkDessert,https://www.google.com/maps/place/1900+Club+Hanoi/data=!4m7!3m6!1s0x3135abbf5c6e7ce3:0xcfa017611623993c!8m2!3d21.035082!4d105.8519772!16s%2Fg%2F11c5b1fktl!19sChIJ43xuXL-rNTERPJkjFmEXoM8?authuser=0&hl=en&rclk=1
drink_dessert_ChIJPaGMFQutNTERPAKrtWlGxkU,1945 Coffee,DrinkDessert,https://www.google.com/maps/place/1945+Coffee/data=!4m7!3m6!1s0x3135ad0b158ca13d:0x45c64669b5ab023c!8m2!3d21.0109881!4d105.8048489!16s%2Fg%2F11h4mq2xmz!19sChIJPaGMFQutNTERPAKrtWlGxkU?authuser=0&hl=en&rclk=1
drink_dessert_ChIJDdDfgVitNTERGLu71bVpezI,1978 coffee,DrinkDessert,https://www.google.com/maps/place/1978+coffee/data=!4m7!3m6!1s0x3135ad5881dfd00d:0x327b69b5d5bbbb18!8m2!3d20.9877083!4d105.8353199!16s%2Fg%2F11p5ml7qwx!19sChIJDdDfgVitNTERGLu71bVpezI?authuser=0&hl=en&rclk=1
drink_dessert_ChIJPbp5c7CrNTERQIJ0n3DH6Rs,1984 Coffee & Drinks,DrinkDessert,https://www.google.com/maps/place/1984+Coffee+%26+Drinks/data=!4m7!3m6!1s0x3135abb07379ba3d:0x1be9c7709f748240!8m2!3d21.0355612!4d105.853559!16s%2Fg%2F11vjtg726g!19sChIJPbp5c7CrNTERQIJ0n3DH6Rs?authuser=0&hl=en&rclk=1
drink_dessert_ChIJmRUsLgypNTERUif-HXn3hJs,1985 coffee,DrinkDessert,https://www.google.com/maps/place/1985+coffee/data=!4m7!3m6!1s0x3135a90c2e2c1599:0x9b84f7791dfe2752!8m2!3d21.04932!4d105.877607!16s%2Fg%2F11kpsvynh5!19sChIJmRUsLgypNTERUif-HXn3hJs?authuser=0&hl=en&rclk=1
drink_dessert_ChIJi5nHiaGtNTERnCZSS8nNK38,1990 COFFEE hồ Văn Quán,DrinkDessert,https://www.google.com/maps/place/1990+COFFEE+h%E1%BB%93+V%C4%83n+Qu%C3%A1n/data=!4m7!3m6!1s0x3135ada189c7998b:0x7f2bcdc94b52269c!8m2!3d20.9791191!4d105.7899892!16s%2Fg%2F11sscvtg4v!19sChIJi5nHiaGtNTERnCZSS8nNK38?authuser=0&hl=en&rclk=1
drink_dessert_ChIJQ7Zdm0urNTER0qnfPsHnNuE,22 Flourish - Dining and Café,DrinkDessert,https://www.google.com/maps/place/22+Flourish+-+Dining+and+Caf%C3%A9/data=!4m7!3m6!1s0x3135ab4b9b5db643:0xe136e7c13edfa9d2!8m2!3d21.0595416!4d105.8642823!16s%2Fg%2F11xl4gz4t7!19sChIJQ7Zdm0urNTER0qnfPsHnNuE?authuser=0&hl=en&rclk=1
drink_dessert_ChIJf3FiyIerNTERgQd4bHKLRI8,28 Coffee,DrinkDessert,https://www.google.com/maps/place/28+Coffee/data=!4m7!3m6!1s0x3135ab87c862717f:0x8f448b726c780781!8m2!3d21.0377566!4d105.8488697!16s%2Fg%2F11rk4kgf1t!19sChIJf3FiyIerNTERgQd4bHKLRI8?authuser=0&hl=en&rclk=1
drink_dessert_ChIJsYnMleWrNTERtRuobr3yyQ8,28 Train Street - Cafe & Bistro,DrinkDessert,https://www.google.com/maps/place/28+Train+Street+-+Cafe+%26+Bistro/data=!4m7!3m6!1s0x3135abe595cc89b1:0xfc9f2bd6ea81bb5!8m2!3d21.0317707!4d105.8449512!16s%2Fg%2F11stpv2j4_!19sChIJsYnMleWrNTERtRuobr3yyQ8?authuser=0&hl=en&rclk=1
drink_dessert_ChIJZ_QNNcyrNTER7CbT7GSRMos,2cream - Homemade Ice Cream,DrinkDessert,https://www.google.com/maps/place/2cream+-+Homemade+Ice+Cream/data=!4m7!3m6!1s0x3135abcc350df467:0x8b329164ecd326ec!8m2!3d21.0610965!4d105.8325305!16s%2Fg%2F11nn4741_x!19sChIJZ_QNNcyrNTER7CbT7GSRMos?authuser=0&hl=en&rclk=1
drink_dessert_ChIJg1bLKQCrNTER0jOHgAgOOcc,30Days Cafe - Hoàng Hoa Thám,DrinkDessert,https://www.google.com/maps/place/30Days+Cafe+-+Ho%C3%A0ng+Hoa+Th%C3%A1m/data=!4m7!3m6!1s0x3135ab0029cb5683:0xc7390e08808733d2!8m2!3d21.0378192!4d105.8264606!16s%2Fg%2F11n9dt4j8z!19sChIJg1bLKQCrNTER0jOHgAgOOcc?authuser=0&hl=en&rclk=1
drink_dessert_ChIJR5yDAACrNTER66gsSbN4bSQ,30Days Cafe - Láng Hạ,DrinkDessert,https://www.google.com/maps/place/30Days+Cafe+-+L%C3%A1ng+H%E1%BA%A1/data=!4m7!3m6!1s0x3135ab0000839c47:0x246d78b3492ca8eb!8m2!3d21.0217822!4d105.8175016!16s%2Fg%2F11wx9mxctn!19sChIJR5yDAACrNTER66gsSbN4bSQ?authuser=0&hl=en&rclk=1
drink_dessert_ChIJS5iSpbyrNTERro8AkDCQxNg,3C Roastery,DrinkDessert,https://www.google.com/maps/place/3C+Roastery/data=!4m7!3m6!1s0x3135abbca592984b:0xd8c4903090008fae!8m2!3d21.0191011!4d105.8220652!16s%2Fg%2F11rf1dqbdm!19sChIJS5iSpbyrNTERro8AkDCQxNg?authuser=0&hl=en&rclk=1
drink_dessert_ChIJwXpHU7SrNTERnIVo8GNlzy4,3C Roastery - 66 Vũ Phạm Hàm,DrinkDessert,https://www.google.com/maps/place/3C+Roastery+-+66+V%C5%A9+Ph%E1%BA%A1m+H%C3%A0m/data=!4m7!3m6!1s0x3135abb453477ac1:0x2ecf6563f068859c!8m2!3d21.0163291!4d105.7982808!16s%2Fg%2F11ln4928g2!19sChIJwXpHU7SrNTERnIVo8GNlzy4?authuser=0&hl=en&rclk=1
drink_dessert_ChIJXXyVD7CrNTERX7OSMdcyl-g,3C Roastery - 92 Phan Kế Bính,DrinkDessert,https://www.google.com/maps/place/3C+Roastery+-+92+Phan+K%E1%BA%BF+B%C3%ADnh/data=!4m7!3m6!1s0x3135abb00f957c5d:0xe89732d73192b35f!8m2!3d21.0354187!4d105.8093521!16s%2Fg%2F11jsl_6y71!19sChIJXXyVD7CrNTERX7OSMdcyl-g?authuser=0&hl=en&rclk=1
drink_dessert_ChIJeajVW0etNTERKQBeaeHTdmA,3C Roastery - Nguyễn Văn Lộc,DrinkDessert,https://www.google.com/maps/place/3C+Roastery+-+Nguy%E1%BB%85n+V%C4%83n+L%E1%BB%99c/data=!4m7!3m6!1s0x3135ad475bd5a879:0x6076d3e1695e0029!8m2!3d20.9834786!4d105.7889715!16s%2Fg%2F11y0x0ngr3!19sChIJeajVW0etNTERKQBeaeHTdmA?authuser=0&hl=en&rclk=1
drink_dessert_ChIJjVXkexGtNTERp2Wkh-Pakf0,3H Coffee & Tea,DrinkDessert,https://www.google.com/maps/place/3H+Coffee+%26+Tea/data=!4m7!3m6!1s0x3135ad117be4558d:0xfd91dae387a465a7!8m2!3d20.9968343!4d105.8709501!16s%2Fg%2F11fv551hx_!19sChIJjVXkexGtNTERp2Wkh-Pakf0?authuser=0&hl=en&rclk=1
drink_dessert_ChIJS312kcqrNTERzJ4MJJQNC3A,3 Tầm Art Coffee,DrinkDessert,https://www.google.com/maps/place/3+T%E1%BA%A7m+Art+Coffee/data=!4m7!3m6!1s0x3135abca91767d4b:0x700b0d94240c9ecc!8m2!3d21.0120427!4d105.8391517!16s%2Fg%2F11l5q2y7xc!19sChIJS312kcqrNTERzJ4MJJQNC3A?authuser=0&hl=en&rclk=1
drink_dessert_ChIJP6ZulpmtNTERP6CWRZGMfzs,4Seasons - Chè Trà Kem,DrinkDessert,https://www.google.com/maps/place/4Seasons+-+Ch%C3%A8+Tr%C3%A0+Kem/data=!4m7!3m6!1s0x3135ad99966ea63f:0x3b7f8c914596a03f!8m2!3d21.0096834!4d105.8351683!16s%2Fg%2F11gj350twc!19sChIJP6ZulpmtNTERP6CWRZGMfzs?authuser=0&hl=en&rclk=1
drink_dessert_ChIJlWVbMV1VNDERvwYegjyRmVo,4Seasons Chè Trà Kem - 89 Dương Khuê,DrinkDessert,https://www.google.com/maps/place/4Seasons+Ch%C3%A8+Tr%C3%A0+Kem+-+89+D%C6%B0%C6%A1ng+Khu%C3%AA/data=!4m7!3m6!1s0x3134555d315b6595:0x5a99913c821e06bf!8m2!3d21.0345871!4d105.7730053!16s%2Fg%2F11sdrp_sqr!19sChIJlWVbMV1VNDERvwYegjyRmVo?authuser=0&hl=en&rclk=1
drink_dessert_ChIJo5h_afWrNTER7Pnf2VnlMho,523 STORY coffee,DrinkDessert,https://www.google.com/maps/place/523+STORY+coffee/data=!4m7!3m6!1s0x3135abf5697f98a3:0x1a32e559d9dff9ec!8m2!3d21.0132724!4d105.8623733!16s%2Fg%2F11vlr00g0_!19sChIJo5h_afWrNTER7Pnf2VnlMho?authuser=0&hl=en&rclk=1
drink_dessert_ChIJ8-OoIuurNTERtRGzT10QgB8,80plus Coffee Roastery Lê Duẩn,DrinkDessert,https://www.google.com/maps/place/80plus+Coffee+Roastery+L%C3%AA+Du%E1%BA%A9n/data=!4m7!3m6!1s0x3135abeb22a8e3f3:0x1f80105d4fb311b5!8m2!3d21.0295188!4d105.8414384!16s%2Fg%2F11w58qctv7!19sChIJ8-OoIuurNTERtRGzT10QgB8?authuser=0&hl=en&rclk=1
drink_dessert_ChIJ_RE-SIqrNTERKt6OBuHsXhI,80plus Coffee Roastery Nguyễn Đình Chiểu,DrinkDessert,https://www.google.com/maps/place/80plus+Coffee+Roastery+Nguy%E1%BB%85n+%C4%90%C3%ACnh+Chi%E1%BB%83u/data=!4m7!3m6!1s0x3135ab8a483e11fd:0x125eece1068ede2a!8m2!3d21.0124762!4d105.8461111!16s%2Fg%2F11y41x592r!19sChIJ_RE-SIqrNTERKt6OBuHsXhI?authuser=0&hl=en&rclk=1
drink_dessert_ChIJ4ZxnJ5qrNTERhH9rY3S3Kt8,80plus Coffee Roastery Nguyễn Thái Học,DrinkDessert,https://www.google.com/maps/place/80plus+Coffee+Roastery+Nguy%E1%BB%85n+Th%C3%A1i+H%E1%BB%8Dc/data=!4m7!3m6!1s0x3135ab9a27679ce1:0xdf2ab774636b7f84!8m2!3d21.0305244!4d105.8365929!16s%2Fg%2F11krs_3bm4!19sChIJ4ZxnJ5qrNTERhH9rY3S3Kt8?authuser=0&hl=en&rclk=1
drink_dessert_ChIJsfB1AgCrNTERBsFNj0Efc5Q,80plus Coffee Roastery Phú Viên,DrinkDessert,https://www.google.com/maps/place/80plus+Coffee+Roastery+Ph%C3%BA+Vi%C3%AAn/data=!4m7!3m6!1s0x3135ab000275f0b1:0x94731f418f4dc106!8m2!3d21.0317177!4d105.8701756!16s%2Fg%2F11wx0r0lgc!19sChIJsfB1AgCrNTERBsFNj0Efc5Q?authuser=0&hl=en&rclk=1
drink_dessert_ChIJ6_8kL8SrNTERaqlXKfVRyh8,80plus Coffee Roastery Văn Cao,DrinkDessert,https://www.google.com/maps/place/80plus+Coffee+Roastery+V%C4%83n+Cao/data=!4m7!3m6!1s0x3135abc42f24ffeb:0x1fca51f52957a96a!8m2!3d21.0443974!4d105.8174791!16s%2Fg%2F11xztgwv5c!19sChIJ6_8kL8SrNTERaqlXKfVRyh8?authuser=0&hl=en&rclk=1
drink_dessert_ChIJeyoC4wCrNTERvlVVGz4qEhU,85*C Bakery & Cafe,DrinkDessert,https://www.google.com/maps/place/85*C+Bakery+%26+Cafe/data=!4m7!3m6!1s0x3135ab00e3022a7b:0x15122a3e1b5555be!8m2!3d21.0162855!4d105.8256208!16s%2Fg%2F11kqckwy0v!19sChIJeyoC4wCrNTERvlVVGz4qEhU?authuser=0&hl=en&rclk=1
